artifactNumber	ObjectName	BeginDate	group1	category1	material	Length	Width	Height	image
1966.0009.001	Propeller	1929	Transport	Aircraft parts	wood;metal	340.0 cm	30.0 cm	15.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0009.001.aa.cs.png
1966.0016.001	Propeller	Unknown	Transport	Aircraft parts	wood;metal	190.0 cm	15.0 cm	11.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0016.001.aa.cs.png
1966.0017.001	Propeller	Unknown	Transport	Aircraft parts	wood;metal	244.0 cm	25.0 cm	9.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0017.001.aa.cs.png
1966.0018.001	Propeller	1910	Transport	Aircraft parts	wood->ash;metal->brass;metal->tin	214.0 cm	22.0 cm	10.8 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0018.001.aa.cs.png
1966.0020.001	Propeller	1942	Transport	Aircraft parts	wood;metal	230.0 cm	25.0 cm	20.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0020.001.aa.cs.png
1966.0022.001	Propeller	Unknown	Transport	Aircraft parts	wood	242.0 cm	21.0 cm	9.8 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0022.001.aa.cs.png
1966.0024.001	Propeller	Unknown	Transport	Aircraft parts	wood;metal	252.0 cm	22.5 cm	10.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0024.001.aa.cs.png
1966.0028.001	Propeller	Unknown	Transport	Aircraft parts	wood;metal;fibre	243.0 cm	20.0 cm	15.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0028.001.aa.cs.png
1966.0029.001	"""Compass, solar"""	1891	Nature	Measurement-angles	metal->brass;metal->silver;glass;wood	23.0 cm	19.5 cm	10.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0029.001.aa.cs.png
1966.0031.001	"""Engine, automobile"""	1948	Transport	Automotive engineering	metal->cast-iron;metal->steel	90.0 cm	97.0 cm	76.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0031.001.aa.cs.png
1966.0032.001	"""Amplifier, microwave"""	Unknown	Technology	Radar	metal->;synthetic->;wood->;fibre->felt	44.2 cm	14.0 cm	16.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0032.001.aa.cs.png
1966.0034.001	Clock works	Unknown	Numbers	Clocks	metal->tin	31.4 cm	13.2 cm	44.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0034.001.aa.cs.png
1966.0035.001	"""Watch, pocket"""	1898	Numbers	Watches	metal;glass;ceramic	7.5 cm	5.5 cm	1.2 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0035.001.aa.cs.png
1966.0036.001	"""Watch, pocket"""	Unknown	Numbers	Watches	metal->steel;ceramic->porcelain	5.8 cm	4.1 cm	1.1 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0036.001.aa.cs.png
1966.0037.001	Headlamp	1900	Transport	Motive power	metal->iron;glass	47.0 cm	38.0 cm	43.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0037.001.aa.cs.png
1966.0038.001	"""Board, order"""	1919	Transport	Operations	metal->cast-iron;glass;wood	53.0 cm	51.0 cm	12.3 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0038.001.aa.cs.png
1966.0039.001	"""Drill, track"""	1900	Transport	Operations	metal;wood	123.5 cm	73.5 cm	91.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0039.001.aa.cs.png
1966.0042.001	"""Valve, inner tube"""	Unknown	Transport	Automotive parts	metal->brass	7.6 cm	4.5 cm	2.2 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0042.001.aa.cs.png
1966.0043.001	"""Therapy machine, cobalt"""	1956	Technology	Radiology	metal;synthetic;wood	262.0 cm	117.0 cm	178.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0043.001.aa.cs.png
1966.0043.002	Control unit	Unknown	Technology	Radiology	metal;synthetic;wood	44.0 cm	24.5 cm	29.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0043.002.aa.cs.png
1966.0046.001	Camera	Unknown	Craft	Still cameras	metal->steel;glass;wood;synthetic	38.0 cm	30.5 cm	34.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0046.001.aa.cs.png
1966.0047.001	Camera	Unknown	Craft	Still cameras	metal->steel;wood	39.0 cm	39.0 cm	28.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0047.001.aa.cs.png
1966.0048.001	Camera	1926	Craft	Still cameras	metal->steel;glass->;synthetic->;skin->leather;fibre	50.0 cm	44.0 cm	31.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0048.001.aa.cs.png
1966.0049.001	Camera	1919	Craft	Still cameras	metal->;wood->;glass->;fibre->;skin->leather - possible	48.0 cm	32.0 cm	29.6 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0049.001.aa.cs.png
1966.0050.001	Camera	Unknown	Craft	Still cameras	metal->steel;glass	43.0 cm	36.0 cm	37.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0050.001.aa.cs.png
1966.0051.001	"""Holder, roll film"""	Unknown	Craft	Still camera parts	metal->steel	38.0 cm	36.0 cm	19.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1966.0051.001.aa.cs.png
